GEO_ID,NAME,S1502_C01_001E,,
37001,"Alamance County, North Carolina",27290,,
37003,"Alexander County, North Carolina",3812,,
37005,"Alleghany County, North Carolina",1460,,
37007,"Anson County, North Carolina",2032,,
37009,"Ashe County, North Carolina",4002,,
37011,"Avery County, North Carolina",2755,,
37013,"Beaufort County, North Carolina",7031,, 
37015,"Bertie County, North Carolina",1964,,
37017,"Bladen County, North Carolina",3791,,
37019,"Brunswick County, North Carolina",31048,,
37021,"Buncombe County, North Carolina",75737,,
37023,"Burke County, North Carolina",10721,,
37025,"Cabarrus County, North Carolina",44201,,
37027,"Caldwell County, North Carolina",9294,,
37029,"Camden County, North Carolina",1274,,
37031,"Carteret County, North Carolina",15182,,
37033,"Caswell County, North Carolina",2664,,
37035,"Catawba County, North Carolina",24663,,
37037,"Chatham County, North Carolina",22117,,
37039,"Cherokee County, North Carolina",4095,,
37041,"Chowan County, North Carolina",2296,,
37043,"Clay County, North Carolina",1984,,
37045,"Cleveland County, North Carolina",11745,,
37047,"Columbus County, North Carolina",5442,,
37049,"Craven County, North Carolina",17032,,
37051,"Cumberland County, North Carolina",52502,,
37053,"Currituck County, North Carolina",4411,,
37055,"Dare County, North Carolina",9359,,
37057,"Davidson County, North Carolina",21469,,
37059,"Davie County, North Carolina",7259,,
37061,"Duplin County, North Carolina",4828,,
37063,"Durham County, North Carolina",103332,,
37065,"Edgecombe County, North Carolina",4928,,
37067,"Forsyth County, North Carolina",85565,,
37069,"Franklin County, North Carolina",10128,,
37071,"Gaston County, North Carolina",32173,,
37073,"Gates County, North Carolina",1196,,
37075,"Graham County, North Carolina",786,,
37077,"Granville County, North Carolina",9431,,
37079,"Greene County, North Carolina",1654,,
37081,"Guilford County, North Carolina",126827,,
37083,"Halifax County, North Carolina",5222,,
37085,"Harnett County, North Carolina",18702,,
37087,"Haywood County, North Carolina",11903,,
37089,"Henderson County, North Carolina",27185,,
37091,"Hertford County, North Carolina",2484,,
37093,"Hoke County, North Carolina",6150,,
37095,"Hyde County, North Carolina",350,,
37097,"Iredell County, North Carolina",34306,,
37099,"Jackson County, North Carolina",8326,,
37101,"Johnston County, North Carolina",29900,,
37103,"Jones County, North Carolina",882,,
37105,"Lee County, North Carolina",8755,,
37107,"Lenoir County, North Carolina",5912,,
37109,"Lincoln County, North Carolina",13584,,
37111,"McDowell County, North Carolina",5731,,
37113,"Macon County, North Carolina",6246,,
37115,"Madison County, North Carolina",4371,,
37117,"Martin County, North Carolina",2705,,
37119,"Mecklenburg County, North Carolina",327148,,
37121,"Mitchell County, North Carolina",2274,,
37123,"Montgomery County, North Carolina",2971,,
37125,"Moore County, North Carolina",26250,,
37127,"Nash County, North Carolina",13460,,
37129,"New Hanover County, North Carolina",63284,,
37131,"Northampton County, North Carolina",2065,,
37133,"Onslow County, North Carolina",24004,,
37135,"Orange County, North Carolina",53769,,
37137,"Pamlico County, North Carolina",1842,,
37139,"Pasquotank County, North Carolina",5947,,
37141,"Pender County, North Carolina",11884,,
37143,"Perquimans County, North Carolina",2034,,
37145,"Person County, North Carolina",4372,,
37147,"Pitt County, North Carolina",35418,,
37149,"Polk County, North Carolina",4621,,
37151,"Randolph County, North Carolina",15552,,
37153,"Richmond County, North Carolina",4808,,
37155,"Robeson County, North Carolina",11719,,
37157,"Rockingham County, North Carolina",9864,,
37159,"Rowan County, North Carolina",17900,,
37161,"Rutherford County, North Carolina",8535,,
37163,"Sampson County, North Carolina",5828,,
37165,"Scotland County, North Carolina",3663,,
37167,"Stanly County, North Carolina",7472,,
37169,"Stokes County, North Carolina",4754,,
37171,"Surry County, North Carolina",9186,,
37173,"Swain County, North Carolina",1780,,
37175,"Transylvania County, North Carolina",8368,,
37177,"Tyrrell County, North Carolina",328,,
37179,"Union County, North Carolina",52171,,
37181,"Vance County, North Carolina",4463,,
37183,"Wake County, North Carolina",376153,,
37185,"Warren County, North Carolina",2300,,
37187,"Washington County, North Carolina",941,,
37189,"Watauga County, North Carolina",13409,,
37191,"Wayne County, North Carolina",15628,,
37193,"Wilkes County, North Carolina",7796,,
37195,"Wilson County, North Carolina",10903,,
37197,"Yadkin County, North Carolina",3117,,
37199,"Yancey County, North Carolina",2678,,
